Character / Team,Year Debuted,Company,Creator/s,First Appearance
Kyle Abbot,2000,DC,Greg Rucka,Detective Comics #743
Able Crown,2000,DC,,Detective Comics #744
Agamemno,2000,DC,,Silver Age #1
Orca,2000,DC,Larry Hama,Batman #579
Zeiss,2000,DC,"Ed Brubaker, Scott McDaniel",Batman #582
Mortalla,2000,DC,Walt Simonson,Orion #6
Queen of Fables,2000,DC,"Mark Waid, Gail Simone",JLA #47
Nero,2001,DC,"Judd Winick, Darryl Banks, Mark Bright",Green Lantern Vol. 3 #132
"Black, White Bandit",2001,DC,Dave Gibbons,Batman: Gotham Knights #12
Blacksmith,2001,DC,"Geoff Johns, Ethan Van Sciver",Iron Heights
Double Down,2001,DC,"Geoff Johns, Ethan Van Sciver",Flash: Iron Heights
Girder,2001,DC,"Geoff Johns, Ethan Van Sciver",Flash: Iron Heights
Murmur,2001,DC,"Geoff Johns, Ethan Van Sciver",Flash: Iron Heights
Cicada,2001,DC,"Geoff Johns, Scott Kollins","The Flash v2, #171"
Onimar Synn,2001,DC,"David S. Goyer, Geoff Johns",JSA #23
Tar Pit,2001,DC,"Geoff Johns, Scott Kollins",Flash v.2 #174
Monsieur Stigmonus,2001,DC,"J. M. DeMatteis, Ryan Sook",The Spectre v4 #6
Manchester Black,2001,DC,"Joe Kelly, Doug Mahnke",Action Comics #775
Mongal,2001,DC,,Superman #170
Morlun,2001 (June),Marvel,"J. Michael Straczynski, John Romita, Jr.",The Amazing Spider-Man #471
Cassandra Nova,2001 (July),Marvel,"Grant Morrison, Frank Quitely",New X-Men #114
Imperiex,2001,DC,,Our Worlds at War
Zoom,2001,DC,"Geoff Johns, Scott Kolins","The Flash: Secret Files, Origins #3"
Peek-a-Boo,2002,DC,"Geoff Johns, Scott Kolins","Flash V.2, #180"
Scorch,2002,DC,,JLA #61
Mortician,2002,DC,"Devin Grayson, Roger Robinson",Batman: Gotham Knights #28
Savant,2003 (August),DC,"Gail Simone, Ed Benes",Birds of Prey #56
Hush,2003,DC,"Jeph Loeb, Jim Lee",Batman #609
Al-Tariq,2003,Marvel,,New Deal
Great White,2003,DC,"Dan Slott, Ryan Sook",Arkham Asylum: Living Hell #1
Kira,2003,,"Tsugumi Ohba, Takeshi Obata",Death Note Vol. 1
Equus,2004,DC,"Brian Azzarello, Jim Lee",Superman #206
Owen Mercer,2004,DC,"Brad Meltzer, Rags Morales",Identity Crisis #3
Preus,2004,DC,"Joe Kelly, Talent Caldwell",Superman 2nd series #202
Ord,2004,Marvel,"Joss Whedon, John Cassaday",Astonishing X-Men 3rd series #1
Rainbow Raiders,2005,DC,"Geoff Johns, Howard Porter",Flash v.2 #217
Batzarro,2005,DC,Jeph Loeb,Superman/Batman #20
Parademon,2005,DC,"Gail Simone, Dale Eaglesham",Villains United #1
Marvel Zombies,2005,Marvel,"Mark Millar, Greg Land, Robert Kirkman, Sean Phillips",Ultimate Fantastic Four #21
Amatsu-Mikaboshi,2006 (February),Marvel,"Michael Oeming, Scott Kolins",Thor: Blood Oath #6
Livewire,2006,DC,"Evan Dorkin, Sarah Dyer, Bruce Timm",First Appearance: Superman: The Animated Series: Livewire; First Comic Appearance: Action Comics #835
Tally Man,2006,DC,,Detective Comics #819
Arkillo,2006 (May),DC,"Geoff Johns, Ivan Reis",Green Lantern (vol. 4) #10
Talon,2006,DC,,Teen Titans #38
Facade,2006,DC,Paul Dini,Detective Comics #821
Atrocitus,2007 (December),DC,Geoff Johns,Green Lantern vol. 4 #25
Larfleeze,2007 (December),DC,"Geoff Johns, Ethan Van Sciver",Green Lantern vol. 4 #25
Menace,2008,Marvel,"Marc Guggenheim, Salvador Larroca",The Amazing Spider-Man #549
Beth Kane,2009 (August),DC,"Greg Rucka, J.H. Williams III",Detective Comics #854
