year,naming_int,naming_noint,reading_int,reading_noint
2015,8.617142857142857,5.123571428571429,4.446428571428571,3.9514285714285715
2016,8.859268292682927,5.405609756097561,5.34,4.07609756097561
2017,9.311764705882354,5.771176470588236,5.49235294117647,4.414411764705882
2018,9.372666666666667,5.298,4.938666666666666,3.886
2019,9.53608695652174,6.345652173913043,6.090869565217392,4.935652173913043
2020,9.740833333333333,5.9624999999999995,4.956666666666666,4.3950000000000005
2021,10.105483870967742,6.387741935483871,7.038064516129032,4.8425806451612905
