Character / Team,Year Debuted,Company,Creator/s,First Appearance,Decade
Midnight Sun,1974,Marvel,"Steve Englehart, Jim Starlin, Al Milgrom",Special Marvel Edition #16,1970
Black Talon,1974,Marvel,"Gene Colan, Len Wein",Strange Tales #173,1970
Anthony Lupus,1974,DC,,Batman #255,1970
Allatou,1974,Marvel,"Steve Gerber, Gene Colan",Marvel Spotlight #18,1970
Tarantula,1974,Marvel,"Ross Andru, Gerry Conway",The Amazing Spider-Man #134,1970
Wrecking Crew,1974,Marvel,"Len Wein, Sal Buscema","The Defenders vol. 1, #17",1970
Legion of the Unliving,1975,Marvel,,Avengers #131,1970
Korvac,1975,Marvel,"Steve Gerber, Jim Starlin",Giant-Size Defenders #3,1970
Moses Magnum,1975,Marvel,"Gerry Conway, Stan Lee, Ross Andru, Steve Ditko",Giant-Size Spider-Man 4,1970
Magus (Adam Warlock),1975,Marvel,Jim Starlin,Strange Tales (Vol.2) #178,1970
Manhunters,1975,DC,Jack Kirby,1st Issue Special #5 (Aug. 1975),1970
Chthon,1975,Marvel,"Marv Wolfman, Bill Mantlo, Yong Mountaino",Marvel Chillers #1,1970
Moonstone,1975,Marvel,"Marv Wolfman, Frank Robbins",Captain America #192,1970
Bullseye,1976,Marvel,"Marv Wolfman, John Romita Sr.",Daredevil #131,1970
Blackrock,1976,DC,,Action Comics #458,1970
100,1976,DC,"100: Robert Kanigher (writer), Ross Andru (artist); 1000: Dan Jurgens",100: Lois Lane #105; 1000: Booster Gold #2,1970
O.G.R.E.,1976,DC,"Bob Haney, Nick Cardy",Aquaman #301,1970
Baron Blood,1976,Marvel,"Roy Thomas, Frank Robbins, Vince Colletta",Invaders #7,1970
SKULL,1976,DC,"Gerry Conway, Curt Swan",Superman #301,1970
Atomic Skull,1976,DC,"Gerry Conway, Curt Swan",Superman #303,1970
Black Spider,1976,DC,#1: Gerry Conway,#1: Detective Comics #463; #2: Batman #518,1970
Duela Dent,1976,DC,Bob Rozakis,Batman Family #6,1970
Doctor Phosphorus,1977,DC,Steve Englehart,Detective Comics #469,1970
Rupert Thorne,1977,DC,"Steve Englehart, Walter Simonson",Detective Comics #469,1970
Graviton,1977,Marvel,"Jim Shooter, Sal Buscema",Avengers #158,1970
Hulk Robot,1977,Marvel,,Eternals #14,1970
Deathbird,1977,Marvel,"Chris Claremont, Keith Pollard",Ms. Marvel #9,1970
Aqueduct,1977,Marvel,"Jim Shooter, Don Heck",Ghost Rider #23,1970
Faora,1977,DC,,Action Comics #471,1970
Golden Glider,1977,DC,"Cary Bates, Irv Novick",Flash #250,1970
Constrictor,1977,Marvel,"Writers: Len Wein, Sal Buscema; Artists: Ernie Chan, Glynis Wein",Incredible Hulk #212,1970
Baron Blitzkrieg,1977,DC,,World's Finest Comics #246,1970
Sabretooth,1977,Marvel,"Chris Claremont, John Byrne",Iron Fist #14,1970
Resistants,1977,Marvel,Jack Kirby,Captain America Annual #4,1970
Doctor Demonicus,1977,Marvel,"Doug Moench, Tom Sutton",Godzilla #4,1970
Killer Frost,1978,DC,"Gerry Conway, Al Migrom","Steel, The Indestructible Man #1",1970
Mystique,1978,Marvel,"Chris Claremont, Dave Cockrum",Ms. Marvel #16,1970
Blackout,1978,Marvel,"Marv Wolfman, Carmine Infantino, Tom Palmer",Nova #19,1970
Count Vertigo,1978,DC,"Bob Haney, Vince Colletta, George Tuska",World's Finest Comics #251,1970
Fadeaway Man,1978,DC,"Len Wein, Rich Buckler",Detective Comics #479,1970
Blue Streak,1978,Marvel,"Roy Thomas, John Buscema",Captain America v1 #217,1970
Needle,1978,Marvel,"Mark Gruenwald, Carmine Infantino, Al Gordon",Spider-Woman #9,1970
Maxie Zeus,1979,DC,,Detective Comics #483,1970
