Character / Team,Year Debuted,Company,Creator/s,First Appearance,Decade
Tar Pit,2001,DC,"Geoff Johns, Scott Kollins",Flash v.2 #174,2000
Monsieur Stigmonus,2001,DC,"J. M. DeMatteis, Ryan Sook",The Spectre v4 #6,2000
Manchester Black,2001,DC,"Joe Kelly, Doug Mahnke",Action Comics #775,2000
Mongal,2001,DC,,Superman #170,2000
Morlun,2001,Marvel,"J. Michael Straczynski, John Romita, Jr.",The Amazing Spider-Man #471,2000
Cassandra Nova,2001,Marvel,"Grant Morrison, Frank Quitely",New X-Men #114,2000
Imperiex,2001,DC,,Our Worlds at War,2000
Zoom,2001,DC,"Geoff Johns, Scott Kolins","The Flash: Secret Files, Origins #3",2000
Peek-a-Boo,2002,DC,"Geoff Johns, Scott Kolins","Flash V.2, #180",2000
Scorch,2002,DC,,JLA #61,2000
Mortician,2002,DC,"Devin Grayson, Roger Robinson",Batman: Gotham Knights #28,2000
Savant,2003,DC,"Gail Simone, Ed Benes",Birds of Prey #56,2000
Hush,2003,DC,"Jeph Loeb, Jim Lee",Batman #609,2000
Al-Tariq,2003,Marvel,,New Deal,2000
Great White,2003,DC,"Dan Slott, Ryan Sook",Arkham Asylum: Living Hell #1,2000
Kira,2003,,"Tsugumi Ohba, Takeshi Obata",Death Note Vol. 1,2000
Equus,2004,DC,"Brian Azzarello, Jim Lee",Superman #206,2000
Owen Mercer,2004,DC,"Brad Meltzer, Rags Morales",Identity Crisis #3,2000
Preus,2004,DC,"Joe Kelly, Talent Caldwell",Superman 2nd series #202,2000
Ord,2004,Marvel,"Joss Whedon, John Cassaday",Astonishing X-Men 3rd series #1,2000
Rainbow Raiders,2005,DC,"Geoff Johns, Howard Porter",Flash v.2 #217,2000
Batzarro,2005,DC,Jeph Loeb,Superman/Batman #20,2000
Parademon,2005,DC,"Gail Simone, Dale Eaglesham",Villains United #1,2000
Marvel Zombies,2005,Marvel,"Mark Millar, Greg Land, Robert Kirkman, Sean Phillips",Ultimate Fantastic Four #21,2000
Amatsu-Mikaboshi,2006,Marvel,"Michael Oeming, Scott Kolins",Thor: Blood Oath #6,2000
Livewire,2006,DC,"Evan Dorkin, Sarah Dyer, Bruce Timm",First Appearance: Superman: The Animated Series: Livewire; First Comic Appearance: Action Comics #835,2000
Tally Man,2006,DC,,Detective Comics #819,2000
Arkillo,2006,DC,"Geoff Johns, Ivan Reis",Green Lantern (vol. 4) #10,2000
Talon,2006,DC,,Teen Titans #38,2000
Facade,2006,DC,Paul Dini,Detective Comics #821,2000
Atrocitus,2007,DC,Geoff Johns,Green Lantern vol. 4 #25,2000
Larfleeze,2007,DC,"Geoff Johns, Ethan Van Sciver",Green Lantern vol. 4 #25,2000
Menace,2008,Marvel,"Marc Guggenheim, Salvador Larroca",The Amazing Spider-Man #549,2000
Beth Kane,2009,DC,"Greg Rucka, J.H. Williams III",Detective Comics #854,2000
Allegra Garcia,2010,DC,"Eric Wallace, Fabrizio Florentinom, Cliff Richards",Titans #28,2010
Tommy Merlyn,2012,DC,Brian Buccellato,Green Arrow (vol.5) #0,2010
Gorr the God Butcher,2013,Marvel,Jason Aaron,Thor: God of Thunder #1,2010
Robo-Chef,2013,Disney/Hyperion,Rhode Montijo,The Gumazing Gum Girl! Book 1: Chews Your Destiny,2010
Bloodwork,2016,DC,Brian Buccellato,The Flash #28,2010
Godspeed,2016,DC,"Joshua Williamson, Carmine Di Giandomenico",The Flash: Rebirth #1,2010
The Hamster (Mr. Hansen),2017,Disney/Hyperion,Rhode Montijo,The Gumazing Gum Girl! Book 2: Gum Luck,2010
The Underhander,2019,Disney/Hyperion,Rhode Montijo,The Gumazing Gum Girl! Book 4: Cover Blown!,2010
The Cocodrilos,2019,Disney/Hyperion,Rhode Montijo,The Gumazing Gum Girl! Book 4: Cover Blown!,2010
